iter	Passed	Remaining
0	0	94
1	1	83
2	2	67
3	2	55
4	2	53
5	3	50
6	3	48
7	4	46
8	4	45
9	4	43
10	5	42
11	5	41
12	6	40
13	6	39
14	6	38
15	7	38
16	7	38
17	8	37
18	8	37
19	9	36
20	9	35
21	9	34
22	10	34
23	10	33
24	11	33
25	11	32
26	11	31
27	12	31
28	12	30
29	12	30
30	13	29
31	13	29
32	14	28
33	14	28
34	14	27
35	15	27
36	15	26
37	16	26
38	16	25
39	16	25
40	17	24
41	17	23
42	17	23
43	18	23
44	18	22
45	18	22
46	19	21
47	19	21
48	19	20
49	20	20
50	20	19
51	20	19
52	21	18
53	21	18
54	21	17
55	22	17
56	22	16
57	22	16
58	23	16
59	23	15
60	24	15
61	24	14
62	24	14
63	25	14
64	25	13
65	25	13
66	26	12
67	26	12
68	26	12
69	27	11
70	27	11
71	27	10
72	28	10
73	28	10
74	28	9
75	29	9
76	29	8
77	30	8
78	30	8
79	30	7
80	31	7
81	31	6
82	31	6
83	32	6
84	32	5
85	33	5
86	33	4
87	33	4
88	34	4
89	34	3
90	34	3
91	35	3
92	35	2
93	35	2
94	36	1
95	36	1
96	37	1
97	37	0
98	37	0
99	38	0
